Altimira, CDM/CM, Real Betis Balompié, Spain, Value: 443, https://cdn.sofifa.net/players/276/471/26_180.png, 276471
Guela Doue, RB/CB/RM, RC Strasbourg Alsace, Côte d'Ivoire, Value: 432, https://cdn.sofifa.net/players/275/208/26_180.png, 275208
El Hadji Malick Diouf, LB/LM, West Ham United, Senegal, Value: 443, https://cdn.sofifa.net/players/274/915/26_180.png, 274915
Carlos Álvarez, RM/CAM/RW, Levante UD, Spain, Value: 443, https://cdn.sofifa.net/players/274/209/26_180.png, 274209
Bryan Zaragoza, LW/LM, RC Celta, Spain, Value: 443, https://cdn.sofifa.net/players/271/916/26_180.png, 271916
Quilindschy Hartman, LB/LM, Burnley, Netherlands, Value: 443, https://cdn.sofifa.net/players/271/121/26_180.png, 271121
Ryan Flamingo, CB, PSV, Netherlands, Value: 443, https://cdn.sofifa.net/players/270/633/26_180.png, 270633
Diego Moreira, LM/LB/RM, RC Strasbourg Alsace, Belgium, Value: 443, https://cdn.sofifa.net/players/270/039/26_180.png, 270039
Trai Hume, RB/CB, Sunderland, Northern Ireland, Value: 411, https://cdn.sofifa.net/players/266/400/26_180.png, 266400
Dango Ouattara, RM/LM/ST/RW, Brentford, Burkina Faso, Value: 422, https://cdn.sofifa.net/players/265/552/26_180.png, 265552
Tyler Morton, CDM/CM, Olympique Lyonnais, England, Value: 443, https://cdn.sofifa.net/players/265/459/26_180.png, 265459
Habib Diarra, CM/CAM/CDM, Sunderland, Senegal, Value: 443, https://cdn.sofifa.net/players/264/293/26_180.png, 264293
Agirrezabala, GK, Valencia CF, Spain, Value: 432, https://cdn.sofifa.net/players/263/880/26_180.png, 263880
Vanderson, RB/RM/CM, AS Monaco, Brazil, Value: 443, https://cdn.sofifa.net/players/263/781/26_180.png, 263781
Nikola Vasilj, GK, FC St. Pauli, Bosnia and Herzegovina, Value: 390, https://cdn.sofifa.net/players/262/956/26_180.png, 262956
Sam Beukema, CB, Napoli, Netherlands, Value: 411, https://cdn.sofifa.net/players/262/394/26_180.png, 262394
Veljko Birmancevic, LW/ST/LM, Sparta Praha, Serbia, Value: 380, https://cdn.sofifa.net/players/261/307/26_180.png, 261307
Alex Scott, CDM/CM/CAM, AFC Bournemouth, England, Value: 443, https://cdn.sofifa.net/players/261/299/26_180.png, 261299
Ismail Yuksek, CDM/CM, Fenerbahçe SK, Türkiye, Value: 400, https://cdn.sofifa.net/players/260/466/26_180.png, 260466
Rasmus Hojlund, ST, Napoli, Denmark, Value: 443, https://cdn.sofifa.net/players/259/399/26_180.png, 259399
Luiz Júnior, GK, Villarreal CF, Brazil, Value: 443, https://cdn.sofifa.net/players/258/885/26_180.png, 258885
Emmanuel Agbadou, CB, Wolverhampton Wanderers, Côte d'Ivoire, Value: 390, https://cdn.sofifa.net/players/258/575/26_180.png, 258575
Diego Conde, GK, Villarreal CF, Spain, Value: 411, https://cdn.sofifa.net/players/258/534/26_180.png, 258534
Filip Jorgensen, GK, Chelsea, Denmark, Value: 443, https://cdn.sofifa.net/players/258/485/26_180.png, 258485
Leo Román, GK, RCD Mallorca, Spain, Value: 443, https://cdn.sofifa.net/players/258/466/26_180.png, 258466
Fotis Ioannidis, ST, Sporting CP, Greece, Value: 411, https://cdn.sofifa.net/players/258/015/26_180.png, 258015
Rocco Reitz, CM/CDM, Borussia Mönchengladbach, Germany, Value: 443, https://cdn.sofifa.net/players/257/919/26_180.png, 257919
Ansgar Knauff, RM/LM/RB, Eintracht Frankfurt, Germany, Value: 422, https://cdn.sofifa.net/players/257/540/26_180.png, 257540
João Mário, RB/RM, Juventus, Portugal, Value: 422, https://cdn.sofifa.net/players/257/290/26_180.png, 257290
Paul Nebel, CAM/CM/RM, 1. FSV Mainz 05, Germany, Value: 443, https://cdn.sofifa.net/players/257/075/26_180.png, 257075
Puertas, CAM/CM/RM, SV Werder Bremen, Spain, Value: 390, https://cdn.sofifa.net/players/256/688/26_180.png, 256688
Youssouf Ndayishimiye, CB/CDM/CM, OGC Nice, Burundi, Value: 400, https://cdn.sofifa.net/players/255/533/26_180.png, 255533
Amine Adli, ST/LM/CAM, AFC Bournemouth, Morocco, Value: 422, https://cdn.sofifa.net/players/255/223/26_180.png, 255223
Azzedine Ounahi, CM/CAM/CDM, Girona FC, Morocco, Value: 432, https://cdn.sofifa.net/players/255/125/26_180.png, 255125
Artem Bondarenko, CAM/CM/CDM, Shakhtar Donetsk, Ukraine, Value: 400, https://cdn.sofifa.net/players/255/074/26_180.png, 255074
Kenneth Taylor, CM/CDM/CAM, Ajax, Netherlands, Value: 443, https://cdn.sofifa.net/players/255/009/26_180.png, 255009
Maximiliano Araujo, LM/LB/LW, Sporting CP, Uruguay, Value: 411, https://cdn.sofifa.net/players/254/817/26_180.png, 254817
Patrick Wimmer, CAM/LM/CM/ST, VfL Wolfsburg, Austria, Value: 443, https://cdn.sofifa.net/players/254/566/26_180.png, 254566
Melvin Bard, LB/LM/CB, OGC Nice, France, Value: 422, https://cdn.sofifa.net/players/254/548/26_180.png, 254548
Arnaud Kalimuendo, ST, Nottingham Forest, France, Value: 422, https://cdn.sofifa.net/players/253/444/26_180.png, 253444
Ali Al Musrati, CDM/CM, Hellas Verona FC, Libya, Value: 380, https://cdn.sofifa.net/players/252/308/26_180.png, 252308
Daniel Bragança, CM/CDM/CAM, Sporting CP, Portugal, Value: 411, https://cdn.sofifa.net/players/252/143/26_180.png, 252143
Andrea Colpani, CAM/RM/ST, Monza, Italy, Value: 380, https://cdn.sofifa.net/players/251/988/26_180.png, 251988
Brian Brobbey, ST, Sunderland, Netherlands, Value: 443, https://cdn.sofifa.net/players/251/810/26_180.png, 251810
Nuno Tavares, LB/LM, Lazio, Portugal, Value: 411, https://cdn.sofifa.net/players/251/530/26_180.png, 251530
Adriano Bertaccini, ST/CAM/LW/CM, RSC Anderlecht, Belgium, Value: 422, https://cdn.sofifa.net/players/251/156/26_180.png, 251156
Joshua Zirkzee, ST/CAM, Manchester United, Netherlands, Value: 443, https://cdn.sofifa.net/players/250/961/26_180.png, 250961
